City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Kapoeta,SS,2021-03-04 04:45:22,4.7717,33.5903,88.16,25,90,21.14
146,Vestmannaeyjar,IS,2021-03-04 04:45:23,63.4427,-20.2734,39.38,79,92,12.44
147,Ballina,AU,2021-03-04 04:45:23,-28.8667,153.5667,77.0,50,75,11.5
148,Rocha,UY,2021-03-04 04:43:26,-34.4833,-54.3333,68.45,94,84,6.11
149,Nanortalik,GL,2021-03-04 04:45:24,60.1432,-45.2371,38.25,76,100,23.22
150,Isla Vista,US,2021-03-04 04:42:57,34.4133,-119.861,48.99,81,1,6.22
151,Saldanha,ZA,2021-03-04 04:45:24,-33.0117,17.9442,64.4,88,13,10.36
152,Shorapani,GE,2021-03-04 04:45:25,42.0898,43.0866,35.6,93,75,2.3
153,Alyangula,AU,2021-03-04 04:42:33,-13.8483,136.4192,90.68,57,44,6.15
154,Henties Bay,NA,2021-03-04 04:45:25,-22.116,14.2845,68.92,73,0,4.76
155,Nouadhibou,MR,2021-03-04 04:45:26,20.931,-17.0347,62.6,82,0,17.27
156,Sterling,US,2021-03-04 04:45:26,39.0062,-77.4286,44.01,65,1,6.91
157,Kambam,ID,2021-03-04 04:45:27,5.2505,96.8629,86.22,64,17,15.59
158,Tuktoyaktuk,CA,2021-03-04 04:45:27,69.4541,-133.0374,-23.8,76,75,4.61
159,Hambantota,LK,2021-03-04 04:45:27,6.1241,81.1185,84.2,74,40,10.36
160,Castro,BR,2021-03-04 04:45:27,-24.7911,-50.0119,62.8,96,100,3.56
161,Naze,JP,2021-03-04 04:45:28,28.3667,129.4833,71.6,56,75,13.8
162,Bubaque,GW,2021-03-04 04:45:28,11.2833,-15.8333,77.45,68,0,4.07
163,Cherskiy,RU,2021-03-04 04:45:28,68.75,161.3,2.07,94,100,1.74
164,Arkhara,RU,2021-03-04 04:45:29,49.4212,130.0842,27.48,98,99,6.04
165,Adrar,MR,2021-03-04 04:45:29,20.5022,-10.0711,65.28,23,97,10.27
166,Dembi Dolo,ET,2021-03-04 04:45:30,8.5333,34.8,68.31,53,85,3.29
167,Lavrentiya,RU,2021-03-04 04:41:56,65.5833,-171.0,-12.96,88,99,6.55
