City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Chuy,UY,-33.6971,-53.4616,63.73,72,9,7.31,clear sky
144,Arraial Do Cabo,BR,-22.9661,-42.0278,77.47,87,35,10.11,scattered clouds
145,Ixtapa,MX,20.7,-105.2,78.8,69,1,13.8,clear sky
146,Leningradskiy,RU,69.3833,178.4167,21.87,82,100,4.63,overcast clouds
147,Barrow,US,71.2906,-156.7887,-4.0,65,1,16.11,clear sky
148,Constitucion,CL,-35.3333,-72.4167,58.87,85,16,2.08,few clouds
149,Nanortalik,GL,60.1432,-45.2371,26.64,81,100,3.89,overcast clouds
150,Alofi,NU,-19.0595,-169.9187,84.2,74,41,4.61,scattered clouds
151,Kulunda,RU,52.566,78.9385,-9.67,85,0,6.6,clear sky
152,Shingu,JP,33.7333,135.9833,47.86,66,0,5.32,clear sky
153,Cidreira,BR,-30.1811,-50.2056,74.12,84,17,11.34,few clouds
154,Klaksvik,FO,62.2266,-6.589,41.0,87,75,33.38,broken clouds
155,Bambous Virieux,MU,-20.3428,57.7575,80.6,83,40,6.91,light rain
156,Xingyi,CN,24.1877,102.817,48.51,95,3,3.0,clear sky
157,Sao Filipe,CV,14.8961,-24.4956,70.79,76,0,5.39,clear sky
158,Inirida,CO,3.8653,-67.9239,75.06,94,93,0.85,overcast clouds
159,Kavaratti,IN,10.5669,72.642,82.45,70,38,7.09,scattered clouds
160,Pindushi,RU,62.9152,34.58,32.72,97,100,8.25,snow
161,Sitapur,IN,27.5667,80.6833,66.47,41,0,6.64,clear sky
162,Mandalgovi,MN,45.7625,106.2708,36.14,39,35,10.2,scattered clouds
163,Kutum,SD,14.2,24.6667,66.81,18,65,6.91,broken clouds
164,Taikang,CN,46.8333,124.4167,35.37,57,16,13.4,few clouds
165,Iskateley,RU,67.6803,53.1512,5.49,96,95,8.84,overcast clouds
166,Vao,NC,-22.6667,167.4833,76.66,77,87,20.13,overcast clouds
167,Tianpeng,CN,30.9866,103.9393,63.0,1,90,4.34,overcast clouds
168,Ambanja,MG,-13.6833,48.45,74.46,92,56,4.0,light rain
169,Kamenka,RU,51.3223,42.7678,25.0,90,99,1.99,light snow
170,Pisco,PE,-13.7,-76.2167,75.2,78,0,8.05,clear sky
171,Jeremie,HT,18.65,-74.1167,76.44,82,5,11.97,clear sky
172,Rio Gallegos,AR,-51.6226,-69.2181,59.0,26,0,14.97,clear sky
173,Flagstaff,US,35.1981,-111.6513,32.0,93,90,10.36,snow
174,Immokalee,US,26.4187,-81.4173,80.6,47,90,8.05,overcast clouds
175,Kasangulu,CD,-4.5911,15.1708,80.6,83,40,3.22,light rain
176,Veraval,IN,20.9,70.3667,75.56,57,0,13.73,clear sky
177,Mount Gambier,AU,-37.8333,140.7667,50.0,93,52,5.75,broken clouds
178,Ridgecrest,US,35.6225,-117.6709,68.0,8,1,6.91,clear sky
179,Tiznit,MA,29.5833,-9.5,63.63,57,52,2.42,broken clouds
180,San Jeronimo,PE,-11.9472,-75.2829,54.46,78,77,1.72,broken clouds
181,Salamanca,ES,40.8333,-6.0,42.01,81,0,5.75,clear sky
182,Acari,PE,-15.4311,-74.6158,76.3,77,9,6.87,clear sky
183,Puerto Quijarro,BO,-17.7833,-57.7667,80.49,70,23,0.25,few clouds
184,Tura,IN,25.5198,90.2201,69.04,43,37,1.39,scattered clouds
185,Thompson,CA,55.7435,-97.8558,19.4,49,1,12.66,snow
186,Vila Velha,BR,-20.3297,-40.2925,82.99,78,0,10.36,clear sky
187,Castro,BR,-24.7911,-50.0119,67.39,73,35,2.21,scattered clouds
188,Quatre Cocos,MU,-20.2078,57.7625,80.6,83,40,6.91,light rain
189,Asyut,EG,27.181,31.1837,57.36,41,100,8.21,overcast clouds
