City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
383,Maumere,ID,79.75,moderate rain,-8.6199,122.2111,Sylvia Hotel
385,Honiara,SB,79.32,overcast clouds,-9.4333,159.95,Heritage Park Hotel
386,Dori,BF,79.25,overcast clouds,14.0354,-0.0345,Hôtel Liptako
389,Baturaja,ID,72.72,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
391,Jalingo,NG,78.37,overcast clouds,8.8833,11.3667,Debright Motel
393,Sao Felix Do Xingu,BR,72.52,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
395,Port Moresby,PG,77.0,haze,-9.4431,147.1797,Lamana Hotel
398,Hobyo,SO,79.43,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
400,Jasdan,IN,73.51,clear sky,22.0333,71.2,Radhuvir Guest House & A World Restaurant
402,Matadi,CD,77.04,broken clouds,-5.8167,13.45,Hotel Fortune
405,Kahului,US,72.0,light rain,20.8947,-156.47,Maui Seaside Hotel
406,Bilma,NE,77.86,clear sky,18.6853,12.9164,Expeditions Ténére voyages
423,Kedougou,SN,79.41,broken clouds,12.5579,-12.1743,Relais de Kédougou
427,Lubao,PH,78.8,broken clouds,14.9167,120.55,Hacienda Gracia
430,Berbera,SO,77.22,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
441,Gigmoto,PH,75.87,moderate rain,13.7796,124.39,Cj's Travellers Inn
445,Vilhena,BR,73.4,few clouds,-12.7406,-60.1458,Hotel Mirage
446,Port Hedland,AU,77.0,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
449,Mayumba,GA,79.97,overcast clouds,-3.432,10.6554,LIKWALE LODGE
463,Kabala,SL,79.16,overcast clouds,9.5833,-11.55,Kabala Hill View
465,Bom Jesus,BR,75.02,clear sky,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
480,Inhambane,MZ,75.33,few clouds,-23.865,35.3833,Oceano
481,Yenagoa,NG,79.21,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
486,Tamandare,BR,79.02,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
489,Sampit,ID,73.51,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
501,Mineiros,BR,70.34,light rain,-17.5694,-52.5511,Pilões Palace Hotel
